Classifier,Train Accuracy (CV),Total Training Time (s)
MultinomialNB,0.8685664900097466,2.750171661376953
LogisticRegression,0.9356420565302145,1.4075489044189453
RandomForestClassifier,0.9411024305555555,3.871262311935425
DecisionTreeClassifier,0.9130238791423002,2.2575271129608154
GradientBoostingClassifier,0.9294080470272904,16.825559616088867
AdaBoostClassifier,0.9340810794346979,4.819454193115234
SVC,0.9450041118421051,7.976968288421631
KNeighborsClassifier,0.8689555921052632,1.1720404624938965
SGDClassifier,0.9578787463450291,1.1427741050720215
MLPClassifier,0.9512487816764132,121.9497926235199
