,Classifier,Train Accuracy,Total Training Time (s)
0,MultinomialNB,0.8685664900097466,4.967689752578735
1,LogisticRegression,0.9356420565302145,3.3080201148986816
2,RandomForestClassifier,0.9411024305555555,14.70035195350647
3,DecisionTreeClassifier,0.9130238791423002,4.318484783172607
4,GradientBoostingClassifier,0.9290181834795321,46.76063299179077
5,AdaBoostClassifier,0.9340810794346979,8.764512062072754
6,SVC,0.9450041118421051,11.216414451599121
7,KNeighborsClassifier,0.8689555921052632,9.383455276489258
8,SGDClassifier,0.9578787463450291,1.2097620964050293
9,MLPClassifier,0.9512487816764132,292.7157711982727
