,Classifier,Accuracy,Recall,Precision,F1 Score,Specificity,TP,TN,FP,FN
0,MultinomialNB,0.9602184087363494,0.9930555555555556,0.9326086956521739,0.9618834080717488,0.9266561514195584,1287,1175,93,9
1,LogisticRegression,0.9781591263650546,0.9637345679012346,0.9928457869634341,0.9780736100234926,0.9929022082018928,1249,1259,9,47
2,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
3,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
4,GradientBoostingClassifier,0.9652886115444618,0.9436728395061729,0.9870863599677159,0.9648915187376726,0.9873817034700315,1223,1252,16,73
5,AdaBoostClassifier,0.9613884555382215,0.9506172839506173,0.9723756906077348,0.9613733905579398,0.972397476340694,1232,1233,35,64
6,SVC,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
7,KNeighborsClassifier,0.9274570982839313,0.9575617283950617,0.9045189504373178,0.9302848575712145,0.8966876971608833,1241,1137,131,55
8,SGDClassifier,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
9,MLPClassifier,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
