,Classifier,Accuracy,Recall,Precision,F1 Score,Specificity,TP,TN,FP,FN
0,MultinomialNB,0.9910296411856474,0.9915123456790124,0.9907478797224364,0.9911299652911685,0.9905362776025236,1285,1256,12,11
1,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
2,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
3,DecisionTreeClassifier,0.9863494539781591,0.9753086419753086,0.9976322020520916,0.9863441279750292,0.9976340694006309,1264,1265,3,32
4,GradientBoostingClassifier,0.9941497659906396,0.9884259259259259,1.0,0.9941792782305006,1.0,1281,1268,0,15
5,AdaBoostClassifier,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
6,SVC,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
7,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
8,SGDClassifier,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
9,MLPClassifier,1.0,1.0,1.0,1.0,1.0,1296,1268,0,0
